BUSINESS_TYPE_ID,BUSINESS_CODE,BUSINESS_DESCRIPTION
430,212322,Industrial Sand Mining
431,423840,Industrial Supplies Merchant Wholesalers
432,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufac"
433,332911,Industrial Valve Manufacturing
434,333413,Industrial and Commercial Fan and Blower and Air Purification Equ
435,424130,Industrial and Personal Service Paper Merchant Wholesalers
436,483211,Inland Water Freight Transportation
437,483212,Inland Water Passenger Transportation
438,337127,Institutional Furniture Manufacturing
439,334515,Instrument Manufacturing for Measuring and Testing Electricity an
440,334513,"Instruments and Related Products Manufacturing for Measuring, Dis"
441,524210,Insurance Agencies and Brokerages
442,541410,Interior Design Services
443,928120,International Affairs
444,522299,"International, Secondary Market, and All Other Nondepository Cred"
445,485210,Interurban and Rural Bus Transportation
446,561611,Investigation and Personal Background Check Services
447,523150,Investment Banking and Securities Intermediation
448,331511,Iron Foundries
449,212210,Iron Ore Mining
450,332111,Iron and Steel Forging
451,331110,Iron and Steel Mills and Ferroalloy Manufacturing
452,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
453,334517,Irradiation Apparatus Manufacturing
454,561720,Janitorial Services
455,458310,Jewelry Retailers
456,339910,Jewelry and Silverware Manufacturing
457,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Whole"
458,611210,Junior Colleges
459,212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining"
460,621492,Kidney Dialysis Centers
461,313240,Knit Fabric Mills
462,813930,Labor Unions and Similar Labor Organizations
463,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Man"
464,237210,Land Subdivision
465,541320,Landscape Architectural Services
466,561730,Landscaping Services
467,611630,Language Schools
468,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufa
469,316110,Leather and Hide Tanning and Finishing
470,922130,Legal Counsel and Prosecution
471,921120,Legislative Bodies
472,531130,Lessors of Miniwarehouses and Self-Storage Units
473,533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Wor
474,531120,Lessors of Nonresidential Buildings (except Miniwarehouses)
475,531190,Lessors of Other Real Estate Property
476,531110,Lessors of Residential Buildings and Dwellings
477,519210,Libraries and Archives
478,327410,Lime Manufacturing
479,722513,Limited-Service Restaurants
480,485320,Limousine Service
481,482111,Line-Haul Railroads
482,812331,Linen Supply
483,424520,Livestock Merchant Wholesalers
484,492210,Local Messengers and Local Delivery
485,561622,Locksmiths
486,113310,Logging
487,458320,Luggage and Leather Goods Retailers
488,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
489,332710,Machine Shops
490,333517,Machine Tool Manufacturing
491,335220,Major Household Appliance Manufacturing
492,311213,Malt Manufacturing
493,459930,Manufactured (Mobile) Home Dealers
494,321991,Manufactured Home (Mobile Home) Manufacturing
495,334610,Manufacturing and Reproducing Magnetic and Optical Media
496,713930,Marinas
497,488320,Marine Cargo Handling
498,541613,Marketing Consulting Services
499,541910,Marketing Research and Public Opinion Polling
500,238140,Masonry Contractors
501,562920,Materials Recovery Facilities
502,337910,Mattress Manufacturing
503,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
504,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
505,311612,Meat Processed from Carcasses
506,445240,Meat Retailers
507,424470,Meat and Meat Product Merchant Wholesalers
508,333613,Mechanical Power Transmission Equipment Manufacturing
509,541830,Media Buying Agencies
510,541840,Media Representatives
511,516210,"Media Streaming Distribution Services, Social Networks, and Other"
512,621511,Medical Laboratories
513,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Who"
514,325411,Medicinal and Botanical Manufacturing
515,332431,Metal Can Manufacturing
516,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and All"
517,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive"
518,332811,Metal Heat Treating
519,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Pr"
520,423510,Metal Service Centers and Other Metal Merchant Wholesalers
521,332420,Metal Tank (Heavy Gauge) Manufacturing
522,332321,Metal Window and Door Manufacturing
523,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
524,327993,Mineral Wool Manufacturing
525,333131,Mining Machinery and Equipment Manufacturing
526,523999,Miscellaneous Financial Investment Activities
527,523910,Miscellaneous Intermediation
528,485111,Mixed Mode Transit Systems
529,722330,Mobile Food Services
530,521110,Monetary Authorities-Central Bank
531,522310,Mortgage and Nonmortgage Loan Brokers
532,512131,Motion Picture Theaters (except Drive-Ins)
533,512120,Motion Picture and Video Distribution
534,512110,Motion Picture and Video Production
535,336213,Motor Home Manufacturing
536,336211,Motor Vehicle Body Manufacturing
537,336340,Motor Vehicle Brake System Manufacturing
538,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing
539,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
540,336370,Motor Vehicle Metal Stamping
541,423140,Motor Vehicle Parts (Used) Merchant Wholesalers
542,336360,Motor Vehicle Seating and Interior Trim Manufacturing
543,336330,Motor Vehicle Steering and Suspension Components (except Spring) 
544,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers
545,488410,Motor Vehicle Towing
546,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing
547,335312,Motor and Generator Manufacturing
548,441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers"
549,336991,"Motorcycle, Bicycle, and Parts Manufacturing"
550,712110,Museums
551,111411,Mushroom Production
552,512230,Music Publishers
553,711130,Musical Groups and Artists
554,339992,Musical Instrument Manufacturing
555,459140,Musical Instrument and Supplies Retailers
556,812113,Nail Salons
557,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
558,928110,National Security
559,221210,Natural Gas Distribution
560,211130,Natural Gas Extraction
561,712190,Nature Parks and Other Similar Institutions
562,488330,Navigational Services to Shipping
563,441110,New Car Dealers
564,236117,New Housing For-Sale Builders
565,236116,New Multifamily Housing Construction (except For-Sale Builders)
566,236115,New Single-Family Housing Construction (except For-Sale Builders)
567,513110,Newspaper Publishers
568,325311,Nitrogenous Fertilizer Manufacturing
569,311340,Nonchocolate Confectionery Manufacturing
570,335932,Noncurrent-Carrying Wiring Device Manufacturing
571,332112,Nonferrous Forging
572,331410,Nonferrous Metal (except Aluminum) Smelting and Refining
573,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, a"
574,331523,Nonferrous Metal Die-Casting Foundries
575,531312,Nonresidential Property Managers
576,481212,Nonscheduled Chartered Freight Air Transportation
577,481211,Nonscheduled Chartered Passenger Air Transportation
578,337122,Nonupholstered Wood Household Furniture Manufacturing
579,313230,Nonwoven Fabric Mills
580,221113,Nuclear Electric Power Generation
581,111421,Nursery and Tree Production
582,444240,"Nursery, Garden Center, and Farm Supply Retailers"
583,623110,Nursing Care Facilities (Skilled Nursing Facilities)
584,561110,Office Administrative Services
585,423420,Office Equipment Merchant Wholesalers
586,337214,Office Furniture (except Wood) Manufacturing
587,532420,Office Machinery and Equipment Rental and Leasing
588,339940,Office Supplies (except Paper) Manufacturing
589,459410,Office Supplies and Stationery Retailers
590,621399,Offices of All Other Miscellaneous Health Practitioners
591,551111,Offices of Bank Holding Companies
592,541211,Offices of Certified Public Accountants
593,621310,Offices of Chiropractors
594,621210,Offices of Dentists
595,541110,Offices of Lawyers
596,621330,Offices of Mental Health Practitioners (except Physicians)
597,541120,Offices of Notaries
598,621320,Offices of Optometrists
599,551112,Offices of Other Holding Companies
600,621340,"Offices of Physical, Occupational and Speech Therapists, and Audi"
601,621111,Offices of Physicians (except Mental Health Specialists)
602,621112,"Offices of Physicians, Mental Health Specialists"
603,621391,Offices of Podiatrists
604,531210,Offices of Real Estate Agents and Brokers
605,531320,Offices of Real Estate Appraisers
606,333132,Oil and Gas Field Machinery and Equipment Manufacturing
607,237120,Oil and Gas Pipeline and Related Structures Construction
608,111120,Oilseed (except Soybean) Farming
609,111191,Oilseed and Grain Combination Farming
610,812922,One-Hour Photofinishing
611,525910,Open-End Investment Funds
612,339115,Ophthalmic Goods Manufacturing
613,423460,Ophthalmic Goods Merchant Wholesalers
614,456130,Optical Goods Retailers
615,111310,Orange Groves
616,332323,Ornamental and Architectural Metal Work Manufacturing
617,541219,Other Accounting Services
618,522390,Other Activities Related to Credit Intermediation
619,531390,Other Activities Related to Real Estate
620,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
621,488119,Other Airport Operations
622,331318,"Other Aluminum Rolling, Drawing, and Extruding"
623,311119,Other Animal Food Manufacturing
624,112519,Other Aquaculture
625,325180,Other Basic Inorganic Chemical Manufacturing
626,238290,Other Building Equipment Contractors
627,238390,Other Building Finishing Contractors
628,444180,Other Building Material Dealers
629,561439,Other Business Service Centers (including Copy Shops)
630,424690,Other Chemical and Allied Products Merchant Wholesalers
631,423440,Other Commercial Equipment Merchant Wholesalers
632,532490,Other Commercial and Industrial Machinery and Equipment Rental an
633,335929,Other Communication and Energy Wire Manufacturing
634,334290,Other Communications Equipment Manufacturing
635,624229,Other Community Housing Services
636,541519,Other Computer Related Services
637,327390,Other Concrete Product Manufacturing
638,423390,Other Construction Material Merchant Wholesalers
639,212319,Other Crushed and Broken Stone Mining and Quarrying
640,524128,"Other Direct Insurance (except Life, Health, and Medical) Carrier"
641,221118,Other Electric Power Generation
642,334419,Other Electronic Component Manufacturing
643,423690,Other Electronic Parts and Equipment Merchant Wholesalers
644,333618,Other Engine Equipment Manufacturing
645,332618,Other Fabricated Wire Product Manufacturing
646,424590,Other Farm Product Raw Material Merchant Wholesalers
647,525990,Other Financial Vehicles
648,111419,Other Food Crops Grown Under Cover
