"JUR","PARID","TAXYR","FILEYR","INVENTORY_TYPE","INVENTORY_MONTH","INVENTORY_AMT"
"2","1201-BURGUNDYSTP","2025","2025","01","12","1100"
"7","7211-REGENTSTGP","2025","2025","01","1","65500"
"7","7211-REGENTSTGP","2025","2025","01","2","65500"
"7","7211-REGENTSTGP","2025","2025","01","3","65500"
"7","7211-REGENTSTGP","2025","2025","01","4","65500"
"7","7211-REGENTSTGP","2025","2025","01","5","65500"
"7","7211-REGENTSTGP","2025","2025","01","6","84000"
"7","7211-REGENTSTGP","2025","2025","01","7","84000"
"7","7211-REGENTSTGP","2025","2025","01","8","84000"
"7","7211-REGENTSTGP","2025","2025","01","9","84000"
"7","7211-REGENTSTGP","2025","2025","01","10","84000"
"7","7211-REGENTSTGP","2025","2025","01","11","84000"
"7","7211-REGENTSTGP","2025","2025","01","12","84000"
"2","3909-BIENVILLEST020P","2025","2025","01","1","150"
"2","3909-BIENVILLEST020P","2025","2025","01","2","200"
"2","3909-BIENVILLEST020P","2025","2025","01","3","175"
"2","3909-BIENVILLEST020P","2025","2025","01","4","300"
"2","3909-BIENVILLEST020P","2025","2025","01","5","125"
"2","3909-BIENVILLEST020P","2025","2025","01","6","155"
"2","3909-BIENVILLEST020P","2025","2025","01","7","225"
"2","3909-BIENVILLEST020P","2025","2025","01","8","195"
"2","3909-BIENVILLEST020P","2025","2025","01","9","125"
"2","3909-BIENVILLEST020P","2025","2025","01","10","150"
"2","3909-BIENVILLEST020P","2025","2025","01","11","200"
"2","3909-BIENVILLEST020P","2025","2025","01","12","300"
"6","800-BROADWAYSTP","2025","2025","04","1","32830"
"6","800-BROADWAYSTP","2025","2025","04","2","35412"
"6","800-BROADWAYSTP","2025","2025","04","3","35986"
"6","800-BROADWAYSTP","2025","2025","04","4","35573"
"6","800-BROADWAYSTP","2025","2025","04","5","37053"
"6","800-BROADWAYSTP","2025","2025","04","6","36885"
"6","800-BROADWAYSTP","2025","2025","04","7","36516"
"6","800-BROADWAYSTP","2025","2025","04","8","37709"
"6","800-BROADWAYSTP","2025","2025","04","9","40008"
"6","800-BROADWAYSTP","2025","2025","04","10","41833"
"6","800-BROADWAYSTP","2025","2025","04","11","42273"
"6","800-BROADWAYSTP","2025","2025","04","12","40043"
"2","309-DECATURSTP","2025","2025","05","3","3000"
"2","309-DECATURSTP","2025","2025","05","4","3000"
"2","309-DECATURSTP","2025","2025","05","5","3000"
"2","309-DECATURSTP","2025","2025","05","6","3000"
"2","309-DECATURSTP","2025","2025","05","7","3000"
"2","309-DECATURSTP","2025","2025","05","8","3000"
"2","309-DECATURSTP","2025","2025","05","9","3000"
"2","309-DECATURSTP","2025","2025","05","10","3000"
"6","6205-SMIROSTP","2025","2025","01","12","461094"
"3","2256-STCLAUDEAVP","2025","2025","02","1","7980"
"3","2256-STCLAUDEAVP","2025","2025","02","2","7980"
"3","2256-STCLAUDEAVP","2025","2025","02","3","7980"
"3","2256-STCLAUDEAVP","2025","2025","02","4","7980"
"3","2256-STCLAUDEAVP","2025","2025","02","5","7980"
"3","2256-STCLAUDEAVP","2025","2025","02","6","7980"
"3","2256-STCLAUDEAVP","2025","2025","02","7","7980"
